Reference Number,Grid Ref: Easting,Grid Ref: Northing,Number of Vehicles,Accident Date,Time (24hr),1st Road Class & No,Road Surface,Lighting Conditions,Weather Conditions,Type of Vehicle,Casualty Class,Casualty Severity,Sex of Casualty,Age of Casualty
4111856,411259,429331,2,01/01/2017,2120,U,Wet/Damp,Darkness: street lights present and lit,Raining without high winds,Car,Vehicle or pillion passenger,Serious,Female,16
4140822,407927,424775,2,04/01/2017,1500,U,Dry,Daylight:street lights present,Fine without high winds,Car,Pedestrian,Serious,Female,67
4150220,405764,423328,2,05/01/2017,0732,A58,Wet/Damp,Darkness: street lights present and lit,Fine without high winds,Car,Driver or rider,Slight,Male,56
4150345,403496,425408,2,05/01/2017,0930,A646,Wet/Damp,Daylight:street lights present,Fine without high winds,Motorcycle over 125cc and up to 500cc,Driver or rider,Serious,Male,20
41E0364,409208,421483,2,14/01/2017,0909,U,Frost/Ice,Daylight:street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,46
41F1023,409168,425177,1,15/01/2017,1659,U,Wet/Damp,Darkness: street lights present and lit,Fine without high winds,Car,Pedestrian,Slight,Male,37
41G0457,409464,423328,1,16/01/2017,1059,A646,Wet/Damp,Daylight:street lights present,Fine without high winds,Car,Pedestrian,Slight,Female,25
41J1375,400810,425567,3,19/01/2017,1849,B6138,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Driver or rider,Slight,Female,50
41K0828,407305,425298,1,20/01/2017,1408,U,Dry,Daylight:street lights present,Fine without high winds,Car,Pedestrian,Slight,Female,64
41M0712,409427,425827,1,22/01/2017,1325,A58,Wet/Damp,Daylight:street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,22
41O0519,409710,423219,2,24/01/2017,1126,A629,Wet/Damp,Daylight:street lights present,Raining without high winds,Car,Vehicle or pillion passenger,Slight,Female,21
41O1290,414715,424441,2,24/01/2017,1830,A641,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Driver or rider,Slight,Male,29
41P0637,412069,428327,2,25/01/2017,1258,U,Dry,Daylight:street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,24
41Q0527,398329,414184,3,26/01/2017,1133,A672,Wet/Damp,Daylight:street lights present,Fine without high winds,Goods vehicle 3.5 tonnes mgw and under,Driver or rider,Slight,Male,29
41Q0996,393098,423280,1,26/01/2017,1546,A6033,Dry,Daylight:street lights present,Fine without high winds,Car,Pedestrian,Slight,Male,5
41R0704,404301,422923,1,27/01/2017,1335,U,Frost/Ice,Daylight:street lights present,Fine without high winds,Goods vehicle 3.5 tonnes mgw and under,Pedestrian,Slight,Female,14
41R1106,408794,425950,2,27/01/2017,1405,U,Dry,Daylight:street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,33
41R1599,409479,424784,2,27/01/2017,2233,U,Wet/Damp,Darkness: street lights present and lit,Raining without high winds,Car,Driver or rider,Slight,Male,28
41R1837,410943,420665,2,27/01/2017,1835,U,Wet/Damp,Darkness: street lights present and lit,Fine without high winds,Car,Driver or rider,Slight,Male,18
41T1074,408533,425632,1,29/01/2017,1430,U,Wet/Damp,Daylight:street lights present,Raining with high winds,Car,Pedestrian,Slight,Female,27
41T1644,405311,427337,2,29/01/2017,2230,U,Wet/Damp,Darkness: street lights present and lit,Fog or mist - if hazard,Car,Driver or rider,Slight,Female,60
41U0773,409208,425212,1,30/01/2017,1444,U,Dry,Daylight:street lights present,Fine without high winds,Taxi/Private hire car,Pedestrian,Slight,Male,67
41V0794,409735,425742,2,31/01/2017,1435,A58,Wet/Damp,Daylight:street lights present,Raining without high winds,Car,Driver or rider,Slight,Female,40
41V1319,407522,418222,2,31/01/2017,1840,U,Wet/Damp,Darkness: street lights present but unlit,Raining without high winds,Car,Driver or rider,Serious,Female,71
4210771,405785,424175,2,01/02/2017,1400,A6139,Wet/Damp,Daylight:street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,48
4220437,406938,425103,2,02/02/2017,1045,U,Wet/Damp,Daylight:street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,76
4221640,406389,423757,2,02/02/2017,2200,A58,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Driver or rider,Slight,Male,22
4231362,405511,424194,1,03/02/2017,1806,A646,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Pedestrian,Slight,Female,14
4240348,399418,427812,3,04/02/2017,0612,A6033,Wet/Damp,Darkness: street lights present and lit,Fine without high winds,Car,Driver or rider,Serious,Male,26
4240820,412461,425469,2,04/02/2017,1310,A644,Dry,Daylight:street lights present,Fine without high winds,Goods vehicle 3.5 tonnes mgw and under,Driver or rider,Slight,Female,65
4241388,393420,424670,1,04/02/2017,1730,A646,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Pedestrian,Slight,Male,11
4250713,417790,420971,2,05/02/2017,1227,A62,Dry,Daylight:street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,51
4270334,406090,419842,1,07/02/2017,0921,U,Dry,Daylight:street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,67
4270824,409952,421083,2,07/02/2017,1423,B6114,Dry,Daylight:street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,28
4271002,406027,423746,2,07/02/2017,1546,A6319,Dry,Daylight:street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,34
4271424,407297,424799,1,06/02/2017,1900,U,Wet/Damp,Darkness: street lights present and lit,Fine without high winds,Car,Pedestrian,Slight,Female,14
4280278,407837,425150,1,08/02/2017,0833,U,Dry,Daylight:street lights present,Fine without high winds,Car,Pedestrian,Slight,Female,13
4280857,408411,426509,1,08/02/2017,1430,A629,Wet/Damp,Daylight:street lights present,Fine without high winds,Car,Pedestrian,Serious,Female,76
4281236,409907,422420,1,08/02/2017,1730,U,Dry,Darkness: street lighting unknown,Fine without high winds,Motorcycle over 50cc and up to 125cc,Pedestrian,Slight,Female,45
4281343,409400,424773,2,08/02/2017,1830,U,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Driver or rider,Slight,Female,30
42B0281,408882,419992,4,11/02/2017,0605,B6112,Snow,Darkness: street lights present and lit,Snowing without high winds,Car,Driver or rider,Slight,Male,35
42C0786,417059,423053,3,12/02/2017,1338,M62,Wet/Damp,Daylight:street lights present,Snowing with high winds,Car,Driver or rider,Slight,Male,57
42C0952,412459,425288,3,12/02/2017,1450,A644,Wet/Damp,Daylight:street lights present,Snowing without high winds,Car,Driver or rider,Slight,Male,26
42D1839,407822,424187,2,13/02/2017,2243,A58,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Driver or rider,Slight,Male,24
42F0694,393641,424144,2,15/02/2017,1225,A646,Dry,Daylight:street lights present,Fine without high winds,Car,Driver or rider,Serious,Male,68
42F0909,398642,427291,2,15/02/2017,1430,A646,Dry,Daylight:street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,53
42F1407,406529,427895,1,15/02/2017,1854,U,Wet/Damp,Darkness: street lights present and lit,Fine without high winds,Car,Pedestrian,Slight,Female,11
42I0988,407576,425893,2,18/02/2017,1440,U,Dry,Daylight:street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,25
42I1712,410017,422241,1,18/02/2017,2330,U,Wet/Damp,Darkness: no street lighting,Fine without high winds,Taxi/Private hire car,Pedestrian,Serious,Female,39
42J0011,408656,423506,1,19/02/2017,0005,A646,Wet/Damp,Darkness: street lights present and lit,Raining without high winds,Car,Driver or rider,Slight,Male,19
42K0743,411805,427843,3,20/02/2017,1212,A644,Wet/Damp,Daylight:street lights present,Raining without high winds,Car,Driver or rider,Slight,Female,74
42L0256,412706,420788,2,21/02/2017,0700,B6114,Dry,Darkness: street lighting unknown,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Male,21
42M1521,390409,423802,1,22/02/2017,1939,A681,Wet/Damp,Darkness: no street lighting,Raining without high winds,Motorcycle over 50cc and up to 125cc,Driver or rider,Serious,Male,30
42O1331,414536,422885,1,24/02/2017,1200,U,Dry,Daylight:street lights present,Fine with high winds,Car,Pedestrian,Slight,Female,59
42O1888,409723,421295,1,24/02/2017,2227,B6113,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Female,17
42S0294,411606,419664,4,28/02/2017,0847,M62,Wet/Damp,Daylight:street lights present,Fine without high winds,Car,Driver or rider,Serious,Male,35
4341635,393590,424199,2,04/03/2017,1500,U,Dry,Daylight:street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,46
4370295,415610,422525,2,07/03/2017,0823,A644,Dry,Daylight:street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,18
43A0392,409505,421400,2,10/08/2017,0940,U,Wet/Damp,Daylight:street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Female,48
43G0238,412458,425334,3,16/03/2017,0743,A644,Dry,Daylight:street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Male,8
43G1614,406622,423833,2,16/03/2017,1415,A58,Dry,Daylight:street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,53
43H1118,408055,425765,1,17/03/2017,1503,U,Wet/Damp,Daylight:street lights present,Raining without high winds,Car,Pedestrian,Slight,Female,50
43H1176,403978,419819,1,17/03/2017,1605,A58,Dry,Daylight:street lights present,Fine without high winds,Goods vehicle over 3.5 tonnes and under 7.5 tonnes mgw,Pedestrian,Slight,Female,45
43H1440,398161,414759,2,17/03/2017,1315,M62,Dry,Daylight:street lights present,Fine with high winds,Car,Driver or rider,Slight,Female,43
43I1037,408931,424957,2,19/03/2017,1508,U,Dry,Daylight:street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,22
43K0190,401473,415605,2,20/03/2017,0700,M62,Wet/Damp,Darkness: street lighting unknown,Raining with high winds,Car,Driver or rider,Slight,Female,21
43K1466,398189,427144,2,20/03/2017,1550,A646,Dry,Daylight:street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,57
43L0705,409222,425377,1,21/03/2017,1231,A629,Dry,Daylight:street lights present,Fine without high winds,Car,Pedestrian,Slight,Female,83
43L1108,407854,427462,1,21/03/2017,1552,A629,Wet/Damp,Daylight:street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Male,19
43M0474,408085,428480,1,22/03/2017,0800,U,Wet/Damp,Daylight:street lights present,Raining without high winds,Car,Pedestrian,Slight,Female,13
43N0355,411786,427853,2,23/03/2017,0900,A644,Dry,Daylight:street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,46
43P1503,411535,419340,2,25/03/2017,1855,A629,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Male,8
43Q0788,405756,428504,2,26/03/2017,1353,U,Dry,Daylight:street lights present,Fine without high winds,M/cycle 50cc and under,Driver or rider,Serious,Male,32
43T0484,416803,422485,2,29/03/2017,0805,M62,Dry,Daylight:street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,25
43U0173,414692,423147,2,30/03/2017,0444,A641,Wet/Damp,Darkness: street lights present and lit,Fine without high winds,Goods vehicle 3.5 tonnes mgw and under,Driver or rider,Slight,Male,29
4411435,394862,424679,1,01/04/2017,1820,U,Dry,Darkness: street lighting unknown,Fine without high winds,Car,Pedestrian,Slight,Male,6
4430811,398795,427244,3,03/04/2017,1315,A646,Dry,Daylight:street lights present,Fine without high winds,Car,Driver or rider,Serious,Female,48
4441341,411880,421425,1,04/04/2017,0840,U,Dry,Daylight:street lights present,Fine without high winds,Car,Pedestrian,Slight,Male,9
4451585,398719,414675,2,05/04/2017,1913,A672,Dry,Darkness: street lighting unknown,Fine without high winds,Car,Driver or rider,Slight,Male,34
4470031,399279,414887,1,07/04/2017,0022,M62,Dry,Darkness: street lights present and lit,Fine without high winds,Minibus (8 – 16 passenger seats),Driver or rider,Slight,Male,52
4470817,405254,427455,1,07/04/2017,1317,U,Dry,Daylight:street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Female,9
4471768,409964,421081,2,07/04/2017,0000,B6113,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Driver or rider,Slight,Male,68
4480043,407784,426541,1,08/04/2017,0026,U,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Driver or rider,Serious,Male,26
4480848,414694,423180,1,08/04/2017,1320,A641,Dry,Daylight:street lights present,Fine without high winds,Motorcycle over 500cc,Driver or rider,Slight,Female,35
4492016,410749,420698,2,09/04/2017,2142,U,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Driver or rider,Slight,Male,18
44B0514,414715,424444,2,31/03/2017,1130,A641,Dry,Daylight:street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Female,63
44B0837,408770,425126,2,11/04/2017,1356,U,Dry,Daylight:street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,45
44B1237,409037,425720,1,11/04/2017,1610,U,Dry,Daylight:street lights present,Fine without high winds,Bus or coach (17 or more passenger seats),Pedestrian,Slight,Male,23
44B1351,399402,414899,3,11/04/2017,1535,M62,Dry,Daylight:street lights present,Fine without high winds,Goods vehicle 3.5 tonnes mgw and under,Driver or rider,Slight,Male,29
44D1103,409336,425055,1,13/04/2017,1614,U,Dry,Daylight:street lights present,Fine without high winds,Car,Pedestrian,Slight,Male,47
44D1726,409801,425875,2,13/04/2017,2125,U,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Driver or rider,Slight,Male,42
44M0740,414670,422867,1,21/04/2017,1325,U,Dry,Daylight:street lights present,Fine without high winds,Car,Pedestrian,Slight,Female,46
44N0736,416938,423908,1,23/04/2017,1232,M62,Dry,Daylight:street lights present,Fine without high winds,Car,Driver or rider,Serious,Female,58
44N1429,407639,425190,2,23/04/2017,1835,U,Dry,Darkness: street lighting unknown,Fine without high winds,Car,Driver or rider,Slight,Male,5
44P1298,410449,421483,2,25/04/2017,1700,U,Wet/Damp,Darkness: street lighting unknown,Fine without high winds,Car,Driver or rider,Slight,Male,29
44P1322,416799,422452,3,25/04/2017,1755,M62,Dry,Darkness: street lighting unknown,Fine without high winds,Goods vehicle 3.5 tonnes mgw and under,Driver or rider,Slight,Female,29
44P1334,415090,422309,2,25/04/2017,1705,U,Wet/Damp,Darkness: street lighting unknown,Raining without high winds,Taxi/Private hire car,Vehicle or pillion passenger,Slight,Female,17
44Q0208,409510,424309,2,26/04/2017,0605,U,Dry,Darkness: street lighting unknown,Fine without high winds,Pedal cycle,Driver or rider,Slight,Male,25
44R0228,408687,425977,2,27/04/2017,0734,A629(M),Wet/Damp,Daylight:street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,33
44R1259,411390,421745,2,27/04/2017,1720,U,Dry,Darkness: street lighting unknown,Fine without high winds,Car,Driver or rider,Slight,Male,23
44S0381,416966,422742,1,28/04/2017,0943,M62,Dry,Daylight:street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,59
44S1117,407802,424212,2,28/04/2017,1600,A58,Dry,Daylight:street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,39
44T0937,400962,425760,2,28/04/2017,1446,U,Dry,Daylight:street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,20
4511074,409883,423574,1,01/05/2017,1454,U,Dry,Daylight:street lights present,Fine without high winds,Car,Pedestrian,Serious,Female,12
4561852,408112,424673,2,06/05/2017,1949,U,Dry,Darkness: street lighting unknown,Fine without high winds,Pedal cycle,Driver or rider,Slight,Male,14
4591073,409089,425737,2,09/05/2017,1540,U,Dry,Daylight:street lights present,Fine without high winds,Motorcycle over 50cc and up to 125cc,Driver or rider,Slight,Male,18
45A1355,414289,422914,2,09/05/2017,1740,A643,Dry,Darkness: street lighting unknown,Fine without high winds,Pedal cycle,Driver or rider,Serious,Male,21
45C0356,409419,423752,3,12/05/2017,0900,A629,Dry,Daylight:street lights present,Fine without high winds,Taxi/Private hire car,Driver or rider,Slight,Female,25
45C1230,409207,425418,1,12/05/2017,1515,A629,Wet/Damp,Daylight:street lights present,Fine without high winds,Car,Pedestrian,Slight,Female,33
45D1487,407576,426799,2,13/05/2017,1701,U,Dry,Darkness: street lighting unknown,Fine without high winds,Car,Driver or rider,Serious,Male,17
45K0563,414754,422834,2,20/05/2017,0932,A641,Dry,Daylight:street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,78
45M1764,406781,425609,1,22/05/2017,1930,U,Dry,Darkness: street lighting unknown,Fine without high winds,Car,Pedestrian,Serious,Male,2
45O0315,410715,426257,2,24/05/2017,0735,A58,Dry,Daylight:street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,44
45O0986,409498,423249,1,23/05/2017,1230,U,Dry,Daylight:street lights present,Fine without high winds,Car,Pedestrian,Slight,Female,29
45O1644,410444,424486,2,24/05/2017,1933,U,Dry,Darkness: street lighting unknown,Fine without high winds,Car,Driver or rider,Slight,Male,22
45P0243,406582,423816,2,25/05/2017,0640,A58,Dry,Darkness: street lighting unknown,Fine without high winds,Car,Driver or rider,Serious,Male,40
45P0887,410752,425621,2,15/05/2017,1515,U,Dry,Daylight:street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,23
45P1441,409556,425413,1,22/05/2017,1230,U,Dry,Daylight:street lights present,Fine without high winds,Car,Pedestrian,Slight,Male,75
45S0413,399909,427641,1,28/05/2017,0700,U,Dry,Darkness: street lighting unknown,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Male,36
45U1498,409593,422354,2,30/05/2017,1809,B6112,Dry,Darkness: street lighting unknown,Fine without high winds,Car,Driver or rider,Slight,Male,58
45V1655,412961,429055,2,31/05/2017,1933,U,Dry,Darkness: street lighting unknown,Fine without high winds,Car,Driver or rider,Slight,Male,39
4610165,409014,425006,1,01/06/2017,0213,U,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Pedestrian,Serious,Male,36
4610207,394586,427514,1,01/06/2017,0325,U,Dry,Darkness: no street lighting,Fine without high winds,Car,Driver or rider,Slight,Male,28
4631335,408366,425333,2,03/06/2017,1345,U,Dry,Daylight:street lights present,Fine without high winds,Car,Pedestrian,Serious,Female,6
4631739,414859,422759,1,03/06/2017,1805,U,Dry,Darkness: street lighting unknown,Fine without high winds,Taxi/Private hire car,Vehicle or pillion passenger,Slight,Female,44
4650346,411422,420447,2,05/06/2017,0900,U,Wet/Damp,Daylight:street lights present,Raining without high winds,Goods vehicle over 3.5 tonnes and under 7.5 tonnes mgw,Driver or rider,Slight,Male,18
4660967,399369,414907,1,06/06/2017,1430,M62,Wet/Damp,Daylight:street lights present,Raining with high winds,Car,Driver or rider,Slight,Female,23
4661010,411252,427687,2,06/06/2017,1453,U,Dry,Daylight:street lights present,Raining with high winds,Car,Driver or rider,Slight,Female,18
46B0737,414742,423048,2,25/05/2017,1210,A641,Dry,Daylight:street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,75
46D1172,409954,425045,1,13/06/2017,1355,U,Dry,Daylight:street lights present,Fine without high winds,Car,Pedestrian,Slight,Male,65
46D1331,410991,419613,2,13/06/2017,1628,U,Dry,Daylight:street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,63
46F0944,411457,419636,4,15/06/2017,1341,M62,Dry,Daylight:street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Male,71
46G1337,405696,419065,2,16/06/2017,1630,U,Dry,Daylight:street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,84
46G2169,408583,421325,3,16/06/2017,2230,B6113,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Driver or rider,Slight,Male,38
46J1701,392512,423195,2,19/06/2017,1630,U,Dry,Daylight:street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,71
46K0315,415723,423208,2,20/06/2017,0713,A643,Dry,Darkness: street lighting unknown,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Female,30
46K0362,409299,425660,2,20/06/2017,0752,A58,Dry,Daylight:street lights present,Fine without high winds,Motorcycle over 125cc and up to 500cc,Driver or rider,Slight,Male,48
46K1353,416660,422322,2,20/06/2017,1600,M62,Dry,Daylight:street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,38
46K1676,412974,420341,2,20/06/2017,1826,M62,Dry,Darkness: street lighting unknown,Fine without high winds,Goods vehicle 3.5 tonnes mgw and under,Driver or rider,Slight,Male,20
46L1638,410155,425762,1,21/06/2017,1750,U,Dry,Darkness: street lighting unknown,Fine without high winds,Car,Driver or rider,Slight,Male,19
46M1396,414810,425451,1,22/06/2017,1656,A641,Dry,Daylight:street lights present,Fine without high winds,Car,Pedestrian,Fatal,Male,57
46N1878,414566,423692,3,23/06/2017,2023,A641,Wet/Damp,Darkness: street lighting unknown,Fine without high winds,Car,Driver or rider,Slight,Male,26
46N2017,417813,421023,2,23/06/2017,2125,A62,Dry,Darkness: street lighting unknown,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Female,38
46O0634,408454,421313,1,24/06/2017,1032,B6113,Dry,Daylight:street lights present,Fine without high winds,Car,Pedestrian,Serious,Male,64
46O0783,404415,421690,2,24/06/2017,1157,A58,Dry,Daylight:street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,58
46O0950,401336,426017,1,24/06/2017,1200,A646,Dry,Daylight:street lights present,Fine without high winds,Car,Pedestrian,Serious,Male,93
46O1875,408223,427170,1,24/06/2017,1900,U,Dry,Darkness: street lighting unknown,Fine without high winds,Car,Pedestrian,Slight,Male,13
46O1901,413769,421599,1,24/06/2017,2056,U,Dry,Darkness: street lighting unknown,Fine without high winds,Car,Pedestrian,Slight,Female,14
46Q1119,406372,425279,2,26/06/2017,1432,U,Dry,Daylight:street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,30
46S0219,411693,419687,3,28/06/2017,0721,M62,Wet/Damp,Darkness: street lighting unknown,Raining without high winds,Car,Driver or rider,Slight,Male,25
46T0627,405327,426183,2,29/06/2017,1800,U,Dry,Darkness: street lighting unknown,Fine without high winds,Car,Driver or rider,Slight,Male,74
46T0687,406049,423742,3,29/06/2017,1215,A6139,Wet/Damp,Daylight:street lights present,Raining without high winds,Car,Driver or rider,Slight,Male,61
46T1349,414859,425305,2,29/06/2017,1640,A641,Dry,Daylight:street lights present,Fine without high winds,Pedal cycle,Driver or rider,Slight,Male,49
4711015,411470,425753,2,01/07/2017,1330,A58,Dry,Daylight:street lights present,Fine without high winds,Car,Driver or rider,Serious,Male,23
4711388,407303,430731,2,01/07/2017,1636,A629,Dry,Daylight:street lights present,Fine without high winds,Car,Driver or rider,Serious,Male,48
4721397,390788,426264,2,02/07/2017,1732,A646,Dry,Darkness: street lighting unknown,Fine without high winds,Pedal cycle,Driver or rider,Slight,Male,39
4721935,408618,424160,1,02/07/2017,1520,U,Dry,Daylight:street lights present,Fine without high winds,Car,Pedestrian,Slight,Male,12
4721995,407819,424186,2,02/07/2017,2236,A646,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Driver or rider,Slight,Female,30
4732052,411750,427877,2,03/07/2017,2200,U,Dry,Darkness: street lighting unknown,Fine without high winds,Goods vehicle 3.5 tonnes mgw and under,Driver or rider,Slight,Male,43
4770922,408104,424881,1,07/07/2017,1341,U,Dry,Daylight:street lights present,Fine without high winds,Taxi/Private hire car,Pedestrian,Slight,Male,41
4772110,408340,426865,2,07/07/2017,2300,U,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Driver or rider,Slight,Male,20
4780774,410105,425755,2,08/07/2017,1151,U,Dry,Daylight:street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Female,44
4780808,408618,419715,3,08/07/2017,1207,B6112,Dry,Daylight:street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,54
4781720,410009,425488,2,08/07/2017,1915,U,Dry,Darkness: street lighting unknown,Other,Car,Driver or rider,Slight,Female,40
4781834,406627,427706,1,08/07/2017,1950,U,Dry,Darkness: street lighting unknown,Fine without high winds,Car,Pedestrian,Slight,Female,3
4790922,404138,425800,2,08/07/2017,2140,U,Dry,Darkness: street lighting unknown,Fine without high winds,Motorcycle over 50cc and up to 125cc,Driver or rider,Slight,Male,18
4791357,406757,426167,2,09/07/2017,1610,U,Dry,Daylight:street lights present,Fine without high winds,Pedal cycle,Driver or rider,Slight,Male,14
4791434,408654,425173,1,09/07/2017,1642,U,Dry,Daylight:street lights present,Fine without high winds,Goods vehicle 3.5 tonnes mgw and under,Pedestrian,Slight,Female,5
